1,phiwiki,budi,0,phiwiki.png,erlangga,pendidikan,2004,1,1
2,mathco,joko,12,phiwiki.png,ITB,pendidikan,2010,3,0
3,halliday,siti,9,phiwiki.png,Gramedia,pendidikan,2008,0,0
4,ttki,aswan,9,phiwiki.png,Tim Bahasa Indonesia,pendidikan,2010,1,0
5,naruto eps 100,maki,0,phiwiki.png,Japan Co,non-pendidikan,2003,0,0
6,phiwiki 2022,budi,10,phiwiki.png,erlangga,pendidikan,2004,0,0
7,mathco 2022,joko,14,phiwiki.png,ITB,pendidikan,2010,0,0
8,halliday edisi 12,siti,1,phiwiki.png,Gramedia,pendidikan,2008,0,0
9,ttki 2022,aswan,9,phiwiki.png,Tim Bahasa Indonesia,pendidikan,2010,0,0
10,naruto eps 273,maki,9,phiwiki.png,Japan Co,non-pendidikan,2003,0,0
